k|packed
B|105947394_499111|07-07~0,0,1,0 2026-07~1,0,1,0 07-18~1,0,0,0 all~1,0,1,0
B|105965840_499027|all~1,0,0,0 06-16~1,0,0,0 2026-06~1,0,0,0
B|106038685_498220|06-12~0,0,1,0 all~0,0,7,2 06-11~0,0,5,0 2026-06~0,0,6,1
B|106054549_499145|2026-07~0,0,2,0 07-07~0,0,1,0 all~2,1,4,0 08-30~1,0,0,0 2026-08~2,1,1,0 07-22~0,0,1,0 08-14~1,1,0,0
B|106057565_498539|06-15~0,0,1,0 all~0,0,2,0 2026-06~0,0,2,0 06-11~0,0,1,0
B|106094650_498811|06-13~0,0,29,7 06-20~0,0,2,1 06-17~0,0,2,0 06-16~0,0,3,1 06-14~0,0,4,1 2026-06~0,0,46,32 06-15~0,0,2,0 all~0,0,54,37 06-21~0,0,1,1 06-22~0,0,1,1
B|106162973_499187|06-20~0,0,1,1 2026-06~0,0,1,1 all~1,0,1,1
B|106168459_499364|2026-07~1,1,69,69 07-20~0,0,5,5 07-17~0,0,7,7 07-15~0,0,4,4 07-21~0,0,6,6 2026-06~0,0,9,9 07-18~0,0,4,4 06-18~0,0,6,6 07-19~0,0,8,8 07-12~0,0,8,8 06-19~0,0,2,2 all~1,1,82,82 07-13~0,0,5,5 07-16~0,0,4,4 07-14~0,0,5,5
B|106201041_499646|all~0,0,1,1 2026-06~0,0,1,1 06-22~0,0,1,1
B|106202176_499680|07-01~1,0,0,0 2026-08~1,0,0,0 2026-07~1,0,0,0 all~1,0,0,0 2026-07M~1,0,0,0
B|106202321_500101|2026-08M~0,0,9,8 08-02~0,0,9,8 08-05~0,0,3,2 07-08~0,0,5,0 2026-06~0,0,1,1 08-03~0,0,4,4 07-14~0,0,3,0 07-13~0,0,1,1 2026-07~0,0,21,9 06-25~0,0,1,1 08-10~0,0,1,0 all~0,0,44,30 07-11~0,0,1,0 2026-08~0,0,18,16 07-06~0,0,8,7
B|106216576_499994|07-15~0,0,1,0 06-29~0,0,19,19 07-09~0,0,3,1 2026-06~0,0,62,60 all~0,0,76,70 06-25~0,0,11,10 07-07~0,0,1,0 2026-07~0,0,14,8 06-27~0,0,14,13 07-11~0,0,2,1 06-30~0,0,7,7 07-08~0,0,2,0 07-06~0,0,1,0 07-03~0,0,1,0 07-14~0,0,2,0 06-26~0,0,11,11 07-17~0,0,1,0
B|106219720_499983|all~0,0,13,12 06-26~0,0,2,2 2026-06~0,0,13,12 06-25~0,0,1,1 06-24~0,0,4,4 06-22~0,0,2,2
B|106219968_499981|07-12~0,0,1,1 07-21~0,0,1,1 07-17~0,0,1,1 2026-06~2,0,3,2 06-23~0,0,1,1 2026-07~0,0,7,4 all~2,0,10,7 07-02~0,0,2,1 2026-07M~0,0,2,1
